orf	gene	go_process	go_function	go_component	essential	het_ypd_A	het_ypd_B	HET_AV	slow_ypd_het	hom_ypd_C	hom_ypd_D	HOM_AV	slow_ypd_hom	het_mm_B	slow_mm_het	hom_mm_D	slow_mm_hom
YAL001C  	TFC3      	transcription initiation from Pol III promoter	RNA polymerase III transcription factor activity	transcription factor TFIIIC complex	YES	1.006	1.007	1.006	no	ND	ND	ND	Essential	1.007	no	ND	Essential
YAL002W  	VPS8      	late endosome to vacuole transport	molecular_function unknown	membrane fraction	NO	0.953	0.928	0.941	no	0.976	0.991	0.983	no	1.013	no	0.837	YES
YAL003W  	EFB1      	translational elongation	translation elongation factor activity	ribosome	YES	1.019	1.010	1.014	no	ND	ND	ND	Essential	0.987	no	ND	Essential
YAL004W  	YAL004W   				NO	1.019	0.998	1.009	no	1.000	1.011	1.005	no	0.999	no	0.999	NO
YAL005C  	ssa1      	protein folding*	chaperone activity*	cytoplasm*	NO	0.970	0.931	0.950	no	1.006	1.009	1.008	no	0.933	no	1.013	NO
YAL007C  	ERP2      	ER to Golgi transport	molecular_function unknown	COPII-coated vesicle	NO	1.043	1.018	1.031	no	1.000	1.010	1.005	no	1.025	no	1.023	NO
YAL008W  	FUN14     	biological_process unknown	molecular_function unknown	mitochondrion	NO	1.019	1.003	1.011	no	1.007	1.009	1.008	no	0.991	no	1.007	NO
YAL009W  	spo7      	meiosis*	molecular_function unknown	integral to membrane*	NO	1.030	1.008	1.019	no	0.941	0.942	0.942	yes	1.003	no	0.953	NO
YAL010C  	mdm10     	mitochondrion organization and biogenesis*	molecular_function unknown	mitochondrial outer membrane	NO	1.018	1.009	1.014	no	1.029	0.935	0.982	no	1.005	no	0.866	YES
YAL011W  	YAL011W   	biological_process unknown	molecular_function unknown	nucleus	NO	0.987	0.974	0.981	no	0.953	0.961	0.957	yes	0.981	no	1.011	NO
YAL012W  	cys3      	sulfur amino acid metabolism*	cystathionine gamma-lyase activity	cytoplasm	NO	0.996	1.008	1.002	no	0.920	0.924	0.922	yes	1.011	no	0.735	YES
YAL013W  	DEP1      	regulation of transcription from Pol II promoter*	molecular_function unknown	cellular_component unknown	NO	1.007	1.009	1.008	no	0.978	ND	0.978	no	1.014	no	ND	NO
YAL014C  	YAL014C   	transport	SNAP receptor activity	endosome	NO	1.020	1.008	1.014	no	1.010	1.014	1.012	no	1.007	no	1.004	NO
YAL015C  	NTG1      	DNA repair*	DNA-(apurinic or apyrimidinic site) lyase activity*	nucleus*	NO	1.021	1.005	1.013	no	0.984	1.001	0.992	no	1.010	no	0.998	NO
YAL016W  	tpd3      	protein biosynthesis*	protein phosphatase type 2A activity	cytoplasm*	NO	0.998	1.005	1.002	no	0.965	0.960	0.962	yes	0.991	no	0.856	YES
YAL017W  	FUN31     	protein amino acid phosphorylation*	protein serine/threonine kinase activity	cytoplasm	NO	1.021	1.001	1.011	no	1.016	1.007	1.012	no	1.006	no	0.982	NO
YAL018C  	YAL018C   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	1.021	1.004	1.013	no	1.007	1.023	1.015	no	1.025	no	1.023	NO
YAL019W  	FUN30     	chromosome organization and biogenesis (sensu Eukarya)	molecular_function unknown	nucleus	NO	1.014	1.001	1.008	no	0.985	1.004	0.995	no	1.021	no	0.978	NO
