Ensembl Gene ID,Human Ensembl Gene ID,% Identity with respect to query gene,"Orthology confidence [0 low, 1 high]",Human Chromosome Name,Human Chromosome Start (bp),Human Chromosome End (bp)
YHR055C,,,,,,
YPR161C,,,,,,
YOL138C,,,,,,
YDR395W,ENSG00000205339,22,1,11,9384622,9448126
YDR395W,ENSG00000133704,19,1,12,30628988,30695986
YGR129W,,,,,,
YPR165W,ENSG00000172602,41,1,12,48857145,48865898
YPR165W,ENSG00000139725,48,1,12,121777754,121803403
YPR165W,ENSG00000108830,44,1,17,43025241,43032036
YPR165W,ENSG00000115963,46,1,2,150468195,150539011
YPR165W,ENSG00000067560,67,1,3,49359145,49412998
YPR165W,ENSG00000271810,42,1,1,112702614,112711433
YPR165W,ENSG00000155366,65,1,1,112701106,112707434
YPR165W,ENSG00000173156,46,1,11,67056818,67072013
YPR165W,ENSG00000143878,60,1,2,20447074,20449445
YPR098C,,,,,,
YPL015C,ENSG00000142082,35,1,11,215458,236931
YPL015C,ENSG00000068903,34,1,19,38878555,38899862
YCL050C,,,,,,
YAL069W,,,,,,
YMR193W,,,,,,
YLR031W,,,,,,
YIL014C-A,,,,,,
YGR053C,,,,,,
YCR101C,ENSG00000156395,18,1,10,104641101,105265235
YCR101C,ENSG00000134243,15,1,1,109309568,109397951
YCR101C,ENSG00000137642,12,1,11,121452203,121633693
YCR101C,ENSG00000108018,17,1,10,106573663,107164534
YCR101C,ENSG00000184985,15,1,4,7192538,7742836
YER087C-B,,,,,,
YOR280C,,,,,,
YGR097W,,,,,,
YHR215W,,,,,,
YKL025C,ENSG00000152520,25,1,13,28138506,28295335
YKR011C,,,,,,
YEL004W,ENSG00000205060,27,1,7,134289332,134317051
YJL200C,ENSG00000122729,26,1,9,32384603,32454769
YJL200C,ENSG00000136381,25,1,15,78437431,78501456
YLL027W,ENSG00000135070,24,1,9,86264546,86282538
YOR024W,,,,,,
YLR045C,ENSG00000175216,25,1,11,46743048,46846308
YDR348C,,,,,,
YPL183C,ENSG00000178252,20,1,3,49007062,49015953
YGR003W,,,,,,
YEL008C-A,,,,,,
YBL095W,,,,,,
YGL060W,,,,,,
YLL007C,,,,,,
YEL009C,,,,,,
YEL015W,,,,,,
YOR083W,,,,,,
YBR252W,ENSG00000128951,52,1,15,48331011,48343373
YDR329C,,,,,,
YDL202W,,,,,,
YHR209W,,,,,,
YPR008W,,,,,,
YER075C,,,,,,
YDL203C,,,,,,
YBR050C,,,,,,
YMR197C,ENSG00000100568,23,1,14,67647075,67674831
YMR197C,ENSG00000151532,29,1,10,112446998,112818744
YDR261W-A,,,,,,
YBL049W,ENSG00000166793,36,1,11,57645087,57649944
YBL049W,ENSG00000090238,37,1,16,30092314,30096915
YBL049W,ENSG00000119801,28,1,2,30146941,30160533
YBL049W,ENSG00000175155,36,1,17,59331689,59401729
YBL049W,ENSG00000100027,36,1,22,21697544,21735834
YER054C,,,,,,
YDR305C,ENSG00000189283,23,1,3,59749310,61251459
YHL019W-A,,,,,,
YNL201C,ENSG00000275052,21,1,2,55547292,55618880
YNL201C,ENSG00000100796,22,1,14,91457611,91510554
YHR180W-A,,,,,,
YCR061W,,,,,,
YBR206W,,,,,,
YPL171C,,,,,,
YHR051W,ENSG00000178741,33,1,15,74919791,74938168
YDL116W,ENSG00000111581,21,1,12,68686734,68745809
YPR124W,,,,,,
YJL023C,,,,,,
YGL167C,ENSG00000074370,31,1,17,3923870,3964464
YGL167C,ENSG00000017260,48,1,3,130850595,131016712
YGL167C,ENSG00000196296,30,1,16,28878405,28904509
YGL167C,ENSG00000064270,47,1,16,84368527,84464187
YGL167C,ENSG00000174437,30,1,12,110280756,110351093
YDL165W,ENSG00000111596,25,1,12,70242994,70354993
YLR154C-H,,,,,,
YPL119C-A,,,,,,
YIL143C,ENSG00000163161,49,1,2,127257290,127294176
YBR292C,,,,,,
YGR240C,ENSG00000067057,33,1,10,3066333,3137712
YGR240C,ENSG00000141959,33,1,21,44300051,44327376
YGR240C,ENSG00000152556,33,1,12,48105139,48146404
YOR094W,ENSG00000113966,42,1,3,97764521,97801109
YDR167W,ENSG00000166337,24,1,11,6606296,6612667
YBR063C,,,,,,
YER052C,,,,,,
YGR178C,,,,,,
YPL118W,,,,,,
YPR187W,ENSG00000100142,46,1,22,37952607,38041915
YJL065C,,,,,,
YOL141W,ENSG00000205629,12,1,16,25111729,25178231
YOL141W,ENSG00000168806,20,1,15,43323649,43330605
YPR086W,ENSG00000137947,30,1,1,88852932,88891944
YBR122C,,,,,,
YBR271W,,,,,,
YBR279W,,,,,,
YHR095W,,,,,,
YMR221C,ENSG00000149150,22,1,11,57484534,57515786
YMR221C,ENSG00000167703,21,1,17,1569267,1628886
YMR221C,ENSG00000134802,19,1,11,57406954,57427580
YMR221C,ENSG00000254979,3,1,11,57387365,57424059
YDR241W,,,,,,
YJL221C,ENSG00000138079,26,1,2,44275458,44321494
YJL221C,ENSG00000168003,14,1,11,62856102,62888875
YER130C,ENSG00000085276,20,1,3,169083499,169663618
YER130C,ENSG00000142611,20,1,1,3069168,3438621
YBR155W,ENSG00000243725,23,1,1,54715822,54742657
YDR363W,,,,,,
YGR266W,,,,,,
YLR443W,,,,,,
YPL147W,ENSG00000101986,25,1,X,153724868,153744762
YPL147W,ENSG00000119688,17,1,14,74285423,74303056
YPL147W,ENSG00000173208,27,1,12,39550033,39619751
YPL147W,ENSG00000117528,21,1,1,94418455,94518666
YAL034C,,,,,,
YBR067C,,,,,,
YCR095C,,,,,,
YLR270W,ENSG00000110063,29,1,11,126303752,126345749
YPR084W,,,,,,
YBR184W,,,,,,
YMR113W,,,,,,
YGR035C,,,,,,
YDL222C,,,,,,
YCL008C,ENSG00000074319,24,1,11,18468336,18527232
YEL065W,,,,,,
YNL335W,,,,,,
YMR296C,ENSG00000090054,30,1,9,92031999,92115384
YDR232W,ENSG00000100116,22,1,22,37807905,37817176
YDR232W,ENSG00000158578,35,1,X,55009055,55031064
YDR232W,ENSG00000023330,36,1,3,52198086,52214327
YGR190C,,,,,,
YHR116W,,,,,,
YDR313C,,,,,,
YFR018C,ENSG00000115828,29,1,2,37344574,37373322
YFR018C,ENSG00000011478,28,1,19,45692483,45703989
YKL007W,ENSG00000177938,23,1,12,18738101,18739187
YKL007W,ENSG00000116489,28,1,1,112619173,112671619
YKL007W,ENSG00000198898,28,1,7,116811070,116922049
YIL048W,ENSG00000054793,43,1,20,51596514,51768634
YIL048W,ENSG00000166377,46,1,18,79069285,79378283
YDL213C,,,,,,
YDR443C,,,,,,
YNL292W,ENSG00000167112,13,1,9,128305161,128322742
YNL292W,ENSG00000165832,21,1,10,114938193,114977676
YKL183C-A,,,,,,
YOR324C,,,,,,
YNL134C,,,,,,
YKL100C,ENSG00000185294,13,1,17,45844835,45847072
YKL100C,ENSG00000005206,14,1,19,2328615,2354806
YKL100C,ENSG00000101294,13,1,20,31514428,31577923
YKL100C,ENSG00000157837,13,1,12,120762510,120904371
YKL100C,ENSG00000138600,14,1,15,50702266,50765808
YOR192C-B,,,,,,
YPL021W,,,,,,
YIL146C,,,,,,
YLR299C-A,,,,,,
YNL218W,ENSG00000124535,38,1,6,2765414,2786952
YIL121W,,,,,,
YNL228W,,,,,,
YDL167C,,,,,,
YPL214C,,,,,,
YOR228C,,,,,,
YBR270C,,,,,,
YGR222W,,,,,,
YEL063C,,,,,,
YAL068W-A,,,,,,
YML020W,,,,,,
YGR121C,,,,,,
YBR222C,ENSG00000167107,23,1,17,50426158,50474845
YBR222C,ENSG00000176715,24,1,16,89088375,89155846
YDL095W,,,,,,
YDL003W,,,,,,
YOR323C,ENSG00000059573,40,1,10,95605929,95656706
YMR183C,ENSG00000099365,24,1,16,30989256,31010628
YMR183C,ENSG00000178750,16,1,3,94014369,94028610
YMR183C,ENSG00000135604,18,1,6,144150526,144188370
YMR183C,ENSG00000106089,24,1,7,73699206,73719672
YMR183C,ENSG00000103496,24,1,16,31032889,31042975
YMR183C,ENSG00000111450,21,1,12,130789600,130839266
YMR183C,ENSG00000166900,20,1,11,59713456,59802706
YOR274W,ENSG00000043514,34,1,1,39841022,39883511
YER146W,ENSG00000106355,42,1,7,32485332,32495283
YML075C,ENSG00000113161,32,1,5,75336329,75362104
YML075C,ENSG00000114650,13,1,3,47413694,47477126
YOL035C,,,,,,
YPL063W,ENSG00000105197,21,1,19,39480412,39493785
YDR457W,ENSG00000104517,12,1,8,102253012,102412841
YDR457W,ENSG00000085382,6,1,6,104728093,104859919
YLR273C,,,,,,
YDR181C,,,,,,
YLR434C,,,,,,
YGL097W,ENSG00000103657,22,1,15,63608618,63833942
YGL097W,ENSG00000129158,15,1,11,17788048,18013162
YGL097W,ENSG00000128731,26,1,15,28111040,28322152
YGL097W,ENSG00000274523,19,1,7,75027122,75074228
YGL097W,ENSG00000136161,17,1,13,48488959,48533256
YGL097W,ENSG00000126107,13,1,1,45002540,45011329
YGL097W,ENSG00000156313,17,1,X,38269163,38327564
YGL097W,ENSG00000136144,18,1,13,49531946,49585583
YGL097W,ENSG00000180198,25,1,1,28505943,28539300
YGL097W,ENSG00000179051,16,1,1,17406760,17439724
YGL097W,ENSG00000005700,17,1,6,82169983,82247754
YCL056C,,,,,,
YJL083W,,,,,,
YMR242W-A,,,,,,
YOR026W,,,,,,
YPL140C,ENSG00000157764,19,1,7,140719327,140924764
YPL140C,ENSG00000078061,18,1,X,47561100,47571920
YPL140C,ENSG00000143674,18,1,1,233327768,233385148
YPL140C,ENSG00000073803,19,1,3,185282941,185489097
YPL140C,ENSG00000173327,19,1,11,65597755,65615382
YPL140C,ENSG00000139625,18,1,12,53479669,53500063
YPL140C,ENSG00000135341,15,1,6,90513573,90587045
YPL140C,ENSG00000166333,10,1,11,6603708,6610874
YPL140C,ENSG00000141068,16,1,17,27456714,27626438
YPL140C,ENSG00000171435,16,1,12,117453012,117968983
YPL140C,ENSG00000006432,19,1,14,70722526,70809534
YPL140C,ENSG00000132155,18,1,3,12583601,12664226
YPL140C,ENSG00000130758,19,1,19,40191744,40215575
YPL140C,ENSG00000259030,18,1,1,74198235,74543982
YPL140C,ENSG00000116783,18,1,1,74235401,74544428
YPL140C,ENSG00000172680,15,1,8,56112942,56113982
YPL140C,ENSG00000091436,15,1,2,173075435,173268010
YNR016C,,,,,,
YER123W,,,,,,
YGR055W,ENSG00000164893,17,1,8,86214052,86321146
YGR055W,ENSG00000092068,19,1,14,23125295,23183674
YGR055W,ENSG00000103064,20,1,16,68264516,68301823
YGR055W,ENSG00000155465,21,1,14,22773222,22829820
YGR055W,ENSG00000151012,18,1,4,138164097,138242349
YGR055W,ENSG00000130876,19,1,19,33208664,33225850
YGR055W,ENSG00000103257,20,1,16,87830023,87869488
YGR055W,ENSG00000021488,21,1,19,32830509,32869766
YKR054C,ENSG00000187240,21,1,11,103109431,103479863
YMR315W,,,,,,
YAL024C,,,,,,
YKL202W,,,,,,
YKL187C,,,,,,
YDR383C,,,,,,
YDR396W,,,,,,
YGR115C,,,,,,
YKL055C,,,,,,
YDR035W,,,,,,
YBL062W,,,,,,
YHR160C,,,,,,
YGR047C,ENSG00000119041,20,1,2,196763032,196799725
YDR119W,,,,,,
YBR208C,ENSG00000078070,13,1,3,183015218,183116075
YBR208C,ENSG00000175198,12,1,13,100089015,100530435
YER151C,ENSG00000103194,16,1,16,84699978,84779922
YLR070C,ENSG00000140263,40,1,15,45023104,45077185
YPR019W,ENSG00000125885,22,1,20,5950652,5998977
YPR019W,ENSG00000104738,40,1,8,47960185,47978160
YPL228W,,,,,,
YPR190C,ENSG00000186141,17,1,1,145824088,145842505
YGR041W,,,,,,
YDR353W,,,,,,
YHR097C,,,,,,
YPL047W,,,,,,
YPL014W,,,,,,
YGR007W,ENSG00000185813,37,1,17,81900965,81911464
YML116W,,,,,,
YOL137W,,,,,,
YGL155W,,,,,,
YER061C,ENSG00000169710,22,1,17,82078338,82098332
YER061C,ENSG00000151093,37,1,3,25782917,25794534
YKL214C,,,,,,
YPL119C,ENSG00000067048,51,1,Y,12904108,12920478
YPL119C,ENSG00000215301,51,1,X,41333348,41364472
YPL119C,ENSG00000079785,22,1,2,15591178,15631111
YPL119C,ENSG00000152670,40,1,5,55738017,55817157
YDL125C,,,,,,
YHR186C,ENSG00000141564,31,1,17,80544819,80966371
YKL011C,,,,,,
YLL019C,ENSG00000113240,21,1,5,178602664,178630615
YLL019C,ENSG00000179335,20,1,15,74598500,74645414
YLL019C,ENSG00000013441,22,1,2,200853009,200864744
YLL019C,ENSG00000176444,20,1,1,155262868,155278491
YNL257C,,,,,,
YGL199C,,,,,,
YJR092W,,,,,,
YDR010C,,,,,,
YBL059W,,,,,,
YBR291C,ENSG00000100075,36,1,22,19175575,19178830
YPL189C-A,,,,,,
YDR262W,,,,,,
YFL012W,,,,,,
YLR078C,,,,,,
YDR072C,,,,,,
YDR179C,,,,,,
YKL153W,,,,,,
YOR108C-A,,,,,,
YGR220C,ENSG00000114686,34,1,3,131462212,131502983
YIL053W,,,,,,
YMR161W,ENSG00000164031,29,1,4,99896248,99946726
YMR161W,ENSG00000257390,19,1,12,55757275,55827546
YMR161W,ENSG00000135392,21,1,12,55820960,55830824
YMR161W,ENSG00000116138,29,1,1,15526813,15592379
YMR161W,ENSG00000148719,30,1,10,72332830,72355230
YMR161W,ENSG00000170464,26,1,5,139408588,139444491
YER011W,,,,,,
YDR258C,ENSG00000162129,19,1,11,72292425,72434680
YDR467C,,,,,,
YGL162W,,,,,,
YNL243W,ENSG00000130787,23,1,12,122834453,122862960
YNL243W,ENSG00000171914,16,1,15,62390526,62844631
YNL243W,ENSG00000140406,2,1,15,81000944,81005788
YNL243W,ENSG00000137076,16,1,9,35696948,35732395
