"Disease > Name","Disease > Identifier","Disease > Genes > Standard Name","Disease > Genes > Name","Disease > Genes > Primary DBID","Disease > Genes > Cross References > Identifier","Disease > Genes > Homologues > Homologue > Standard Name","Disease > Genes > Homologues > Homologue > Systematic Name","Disease > Genes > Homologues > Homologue > Name","Disease > Genes > Homologues > Data Sets > Data Source > Name"
"SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY ","102700","ADA","adenosine deaminase","100","608958","AAH1","YNL141W","Adenine AminoHydrolase","Ensembl"
"SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY ","102700","ADA","adenosine deaminase","100","608958","AAH1","YNL141W","Adenine AminoHydrolase","HomoloGene"
"MEGALENCEPHALY-POLYMICROGYRIA-POLYDACTYLY-HYDROCEPHALUS SYNDROME; MPPH ","603387","AKT3","v-akt murine thymoma viral oncogene homolog 3","10000","611223","PKC1","YBL105C","Protein Kinase C","TreeFam"
"MEGALENCEPHALY-POLYMICROGYRIA-POLYDACTYLY-HYDROCEPHALUS SYNDROME; MPPH ","603387","AKT3","v-akt murine thymoma viral oncogene homolog 3","10000","611223","SCH9","YHR205W","","Panther"
"CHONDRODYSPLASIA WITH PLATYSPONDYLY, DISTINCTIVE BRACHYDACTYLY, HYDROCEPHALY, AND MICROPHTHALMIA ","300863","HDAC6","histone deacetylase 6","10013","300272","HDA1","YNL021W","Histone DeAcetylase","Ensembl"
"CHONDRODYSPLASIA WITH PLATYSPONDYLY, DISTINCTIVE BRACHYDACTYLY, HYDROCEPHALY, AND MICROPHTHALMIA ","300863","HDAC6","histone deacetylase 6","10013","300272","HDA1","YNL021W","Histone DeAcetylase","Panther"
"MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1E; LGMD1E ","603511","DNAJB6","DnaJ (Hsp40) homolog, subfamily B, member 6","10049","611332","SIS1","YNL007C","SIt4 Suppressor","Panther"
"BLOOD GROUP, LANGEREIS SYSTEM; LAN ","111600","ABCB6","ATP-binding cassette, sub-family B (MDR/TAP), member 6","10058","605452","ATM1","YMR301C","ABC Transporter, Mitochondrial","Ensembl"
"DYSCHROMATOSIS UNIVERSALIS HEREDITARIA 3; DUH3 ","615402","ABCB6","ATP-binding cassette, sub-family B (MDR/TAP), member 6","10058","605452","ATM1","YMR301C","ABC Transporter, Mitochondrial","Ensembl"
"MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 7; MCOPCB7 ","614497","ABCB6","ATP-binding cassette, sub-family B (MDR/TAP), member 6","10058","605452","ATM1","YMR301C","ABC Transporter, Mitochondrial","Ensembl"
"ENCEPHALOPATHY, LETHAL, DUE TO DEFECTIVE MITOCHONDRIAL AND PEROXISOMAL FISSION; EMPF ","614388","DNM1L","dynamin 1-like","10059","603850","DNM1","YLL001W","DyNaMin-related","Ensembl"
"ENCEPHALOPATHY, LETHAL, DUE TO DEFECTIVE MITOCHONDRIAL AND PEROXISOMAL FISSION; EMPF ","614388","DNM1L","dynamin 1-like","10059","603850","DNM1","YLL001W","DyNaMin-related","HomoloGene"
"ENCEPHALOPATHY, LETHAL, DUE TO DEFECTIVE MITOCHONDRIAL AND PEROXISOMAL FISSION; EMPF ","614388","DNM1L","dynamin 1-like","10059","603850","DNM1","YLL001W","DyNaMin-related","Panther"
"ENCEPHALOPATHY, LETHAL, DUE TO DEFECTIVE MITOCHONDRIAL AND PEROXISOMAL FISSION; EMPF ","614388","DNM1L","dynamin 1-like","10059","603850","DNM1","YLL001W","DyNaMin-related","TreeFam"
