"","Ensembl.Gene.ID","Human.Ensembl.Gene.ID","X..Identity.with.respect.to.query.gene","Orthology.confidence..0.low..1.high.","Human.Chromosome.Name","Human.Chromosome.Start..bp.","Human.Chromosome.End..bp.","essential"
"4","YDR395W","ENSG00000205339",22,1,"11",9384622,9448126,FALSE
"5","YDR395W","ENSG00000133704",19,1,"12",30628988,30695986,FALSE
"7","YPR165W","ENSG00000172602",41,1,"12",48857145,48865898,TRUE
"8","YPR165W","ENSG00000139725",48,1,"12",121777754,121803403,TRUE
"9","YPR165W","ENSG00000108830",44,1,"17",43025241,43032036,TRUE
"10","YPR165W","ENSG00000115963",46,1,"2",150468195,150539011,TRUE
"11","YPR165W","ENSG00000067560",67,1,"3",49359145,49412998,TRUE
"12","YPR165W","ENSG00000271810",42,1,"1",112702614,112711433,TRUE
"13","YPR165W","ENSG00000155366",65,1,"1",112701106,112707434,TRUE
"14","YPR165W","ENSG00000173156",46,1,"11",67056818,67072013,TRUE
"15","YPR165W","ENSG00000143878",60,1,"2",20447074,20449445,TRUE
"17","YPL015C","ENSG00000142082",35,1,"11",215458,236931,FALSE
"18","YPL015C","ENSG00000068903",34,1,"19",38878555,38899862,FALSE
"25","YCR101C","ENSG00000156395",18,1,"10",104641101,105265235,FALSE
"26","YCR101C","ENSG00000134243",15,1,"1",109309568,109397951,FALSE
"27","YCR101C","ENSG00000137642",12,1,"11",121452203,121633693,FALSE
"28","YCR101C","ENSG00000108018",17,1,"10",106573663,107164534,FALSE
"29","YCR101C","ENSG00000184985",15,1,"4",7192538,7742836,FALSE
"34","YKL025C","ENSG00000152520",25,1,"13",28138506,28295335,FALSE
"36","YEL004W","ENSG00000205060",27,1,"7",134289332,134317051,FALSE
"37","YJL200C","ENSG00000122729",26,1,"9",32384603,32454769,FALSE
"38","YJL200C","ENSG00000136381",25,1,"15",78437431,78501456,FALSE
"39","YLL027W","ENSG00000135070",24,1,"9",86264546,86282538,FALSE
"41","YLR045C","ENSG00000175216",25,1,"11",46743048,46846308,TRUE
"43","YPL183C","ENSG00000178252",20,1,"3",49007062,49015953,FALSE
"52","YBR252W","ENSG00000128951",52,1,"15",48331011,48343373,TRUE
"60","YMR197C","ENSG00000100568",23,1,"14",67647075,67674831,TRUE
"61","YMR197C","ENSG00000151532",29,1,"10",112446998,112818744,TRUE
"63","YBL049W","ENSG00000166793",36,1,"11",57645087,57649944,FALSE
"64","YBL049W","ENSG00000090238",37,1,"16",30092314,30096915,FALSE
"65","YBL049W","ENSG00000119801",28,1,"2",30146941,30160533,FALSE
"66","YBL049W","ENSG00000175155",36,1,"17",59331689,59401729,FALSE
"67","YBL049W","ENSG00000100027",36,1,"22",21697544,21735834,FALSE
"69","YDR305C","ENSG00000189283",23,1,"3",59749310,61251459,FALSE
"71","YNL201C","ENSG00000275052",21,1,"2",55547292,55618880,FALSE
"72","YNL201C","ENSG00000100796",22,1,"14",91457611,91510554,FALSE
"77","YHR051W","ENSG00000178741",33,1,"15",74919791,74938168,FALSE
"78","YDL116W","ENSG00000111581",21,1,"12",68686734,68745809,FALSE
"81","YGL167C","ENSG00000074370",31,1,"17",3923870,3964464,FALSE
"82","YGL167C","ENSG00000017260",48,1,"3",130850595,131016712,FALSE
"83","YGL167C","ENSG00000196296",30,1,"16",28878405,28904509,FALSE
"84","YGL167C","ENSG00000064270",47,1,"16",84368527,84464187,FALSE
"85","YGL167C","ENSG00000174437",30,1,"12",110280756,110351093,FALSE
"86","YDL165W","ENSG00000111596",25,1,"12",70242994,70354993,TRUE
"89","YIL143C","ENSG00000163161",49,1,"2",127257290,127294176,TRUE
"91","YGR240C","ENSG00000067057",33,1,"10",3066333,3137712,FALSE
"92","YGR240C","ENSG00000141959",33,1,"21",44300051,44327376,FALSE
"93","YGR240C","ENSG00000152556",33,1,"12",48105139,48146404,FALSE
"94","YOR094W","ENSG00000113966",42,1,"3",97764521,97801109,FALSE
"95","YDR167W","ENSG00000166337",24,1,"11",6606296,6612667,TRUE
"100","YPR187W","ENSG00000100142",46,1,"22",37952607,38041915,TRUE
"102","YOL141W","ENSG00000205629",12,1,"16",25111729,25178231,FALSE
"103","YOL141W","ENSG00000168806",20,1,"15",43323649,43330605,FALSE
"104","YPR086W","ENSG00000137947",30,1,"1",88852932,88891944,TRUE
"109","YMR221C","ENSG00000149150",22,1,"11",57484534,57515786,FALSE
"110","YMR221C","ENSG00000167703",21,1,"17",1569267,1628886,FALSE
"111","YMR221C","ENSG00000134802",19,1,"11",57406954,57427580,FALSE
"112","YMR221C","ENSG00000254979",3,1,"11",57387365,57424059,FALSE
"114","YJL221C","ENSG00000138079",26,1,"2",44275458,44321494,FALSE
"115","YJL221C","ENSG00000168003",14,1,"11",62856102,62888875,FALSE
"116","YER130C","ENSG00000085276",20,1,"3",169083499,169663618,FALSE
"117","YER130C","ENSG00000142611",20,1,"1",3069168,3438621,FALSE
"118","YBR155W","ENSG00000243725",23,1,"1",54715822,54742657,TRUE
"122","YPL147W","ENSG00000101986",25,1,"X",153724868,153744762,FALSE
"123","YPL147W","ENSG00000119688",17,1,"14",74285423,74303056,FALSE
"124","YPL147W","ENSG00000173208",27,1,"12",39550033,39619751,FALSE
"125","YPL147W","ENSG00000117528",21,1,"1",94418455,94518666,FALSE
"129","YLR270W","ENSG00000110063",29,1,"11",126303752,126345749,FALSE
"135","YCL008C","ENSG00000074319",24,1,"11",18468336,18527232,FALSE
"138","YMR296C","ENSG00000090054",30,1,"9",92031999,92115384,TRUE
"139","YDR232W","ENSG00000100116",22,1,"22",37807905,37817176,TRUE
"140","YDR232W","ENSG00000158578",35,1,"X",55009055,55031064,TRUE
"141","YDR232W","ENSG00000023330",36,1,"3",52198086,52214327,TRUE
"145","YFR018C","ENSG00000115828",29,1,"2",37344574,37373322,FALSE
"146","YFR018C","ENSG00000011478",28,1,"19",45692483,45703989,FALSE
"147","YKL007W","ENSG00000177938",23,1,"12",18738101,18739187,FALSE
"148","YKL007W","ENSG00000116489",28,1,"1",112619173,112671619,FALSE
"149","YKL007W","ENSG00000198898",28,1,"7",116811070,116922049,FALSE
"150","YIL048W","ENSG00000054793",43,1,"20",51596514,51768634,TRUE
"151","YIL048W","ENSG00000166377",46,1,"18",79069285,79378283,TRUE
"154","YNL292W","ENSG00000167112",13,1,"9",128305161,128322742,FALSE
"155","YNL292W","ENSG00000165832",21,1,"10",114938193,114977676,FALSE
"159","YKL100C","ENSG00000185294",13,1,"17",45844835,45847072,FALSE
"160","YKL100C","ENSG00000005206",14,1,"19",2328615,2354806,FALSE
"161","YKL100C","ENSG00000101294",13,1,"20",31514428,31577923,FALSE
"162","YKL100C","ENSG00000157837",13,1,"12",120762510,120904371,FALSE
"163","YKL100C","ENSG00000138600",14,1,"15",50702266,50765808,FALSE
"168","YNL218W","ENSG00000124535",38,1,"6",2765414,2786952,FALSE
"180","YBR222C","ENSG00000167107",23,1,"17",50426158,50474845,FALSE
